"['n1', 'n2', 'L2', 'n3', 'L3', 'M3', 'n4', 'L4', 'M4']",lifetime_i
"[0, 0, 0, 3, 3, 3, 4, 2, 1]",0.31946509770591847
"[0, 0, 0, 3, 3, 3, 4, 2, 2]",0.35318120149107735
"[0, 0, 0, 3, 3, 3, 4, 4, 1]",0.31826422747248045
"[0, 0, 0, 3, 3, 3, 4, 4, 2]",0.3340448966697208
"[0, 0, 0, 3, 3, 3, 4, 4, 3]",0.3373718226440538
"[0, 0, 0, 4, 0, 0, 0, 0, 0]",0.021632182867522103
"[0, 0, 0, 4, 0, 0, 1, 1, 1]",0.15936232698383457
"[0, 0, 0, 4, 0, 0, 2, 0, 0]",0.46140352023806425
"[0, 0, 0, 4, 0, 0, 2, 2, 1]",0.47241553903281835
"[0, 0, 0, 4, 0, 0, 2, 2, 2]",0.49415048624801694
"[0, 0, 0, 4, 2, 1, 0, 0, 0]",0.021702940555646272
"[0, 0, 0, 4, 2, 1, 1, 1, 1]",0.16762032935061374
"[0, 0, 0, 4, 2, 1, 2, 0, 0]",0.48012760828910045
"[0, 0, 0, 4, 2, 1, 2, 2, 1]",0.486539879035231
"[0, 0, 0, 4, 2, 1, 2, 2, 2]",0.48401761618086453
"[0, 0, 0, 4, 2, 2, 0, 0, 0]",0.02196112251189502
"[0, 0, 0, 4, 2, 2, 1, 1, 1]",0.15000370408507285
"[0, 0, 0, 4, 2, 2, 2, 0, 0]",0.47379046445724854
"[0, 0, 0, 4, 2, 2, 2, 2, 1]",0.47546922187995705
"[0, 0, 0, 4, 2, 2, 2, 2, 2]",0.4862398804050658
"[0, 0, 0, 4, 4, 0, 0, 0, 0]",0.025522138582797126
"[0, 0, 0, 4, 4, 0, 1, 1, 1]",0.2069410469361332
"[0, 0, 0, 4, 4, 0, 2, 0, 0]",0.502716898437112
"[0, 0, 0, 4, 4, 0, 2, 2, 1]",0.5089904424711332
"[0, 0, 0, 4, 4, 0, 2, 2, 2]",0.4940708911696948
"[0, 0, 0, 4, 4, 1, 0, 0, 0]",0.022399984012288206
"[0, 0, 0, 4, 4, 1, 1, 1, 1]",0.18274008081246176
"[0, 0, 0, 4, 4, 1, 2, 2, 1]",0.48571020981045543
"[0, 0, 0, 4, 4, 1, 2, 2, 2]",0.4884527028543244
"[0, 0, 0, 4, 4, 2, 0, 0, 0]",0.021736293731346515
"[0, 0, 0, 4, 4, 2, 1, 1, 1]",0.2179376857737851
"[0, 0, 0, 4, 4, 2, 2, 0, 0]",0.4903843405321215
"[0, 0, 0, 4, 4, 2, 2, 2, 2]",0.4965265961528558
"[0, 0, 0, 4, 4, 3, 0, 0, 0]",0.019060310847145986
"[0, 0, 0, 4, 4, 3, 1, 1, 1]",0.20374627144426538
"[0, 0, 0, 4, 4, 3, 2, 2, 1]",0.4958860090768589
"[0, 0, 0, 4, 4, 3, 2, 2, 2]",0.5070004191055657
"[0, 0, 0, 5, 1, 1, 0, 0, 0]",0.5079371561168476
"[0, 0, 0, 5, 3, 0, 0, 0, 0]",0.508597148508964
"[0, 0, 0, 5, 3, 1, 0, 0, 0]",0.5037078370001596
"[0, 0, 0, 5, 3, 2, 0, 0, 0]",0.5046320263451147
"[0, 0, 0, 5, 3, 3, 0, 0, 0]",0.5038050494514454
"[0, 0, 0, 5, 5, 0, 0, 0, 0]",0.5085658906214768
"[0, 0, 0, 5, 5, 1, 0, 0, 0]",0.5039425254952812
"[0, 0, 0, 5, 5, 2, 0, 0, 0]",0.5049846996234527
"[0, 0, 0, 5, 5, 3, 0, 0, 0]",0.5182009311959317
"[0, 0, 0, 5, 5, 5, 0, 0, 0]",0.5052426437494084
"[0, 0, 0, 6, 3, 3, 0, 0, 0]",0.46921094898732185
"[0, 1, 1, 0, 0, 0, 0, 0, 0]",40.00782845906897
"[0, 1, 1, 0, 0, 0, 1, 1, 1]",0.39731215277892107
"[0, 1, 1, 0, 0, 0, 2, 0, 0]",0.18273706979931462
"[0, 1, 1, 0, 0, 0, 2, 2, 1]",0.1961830830838991
